Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.0892796,0.0604675,2.52417,-0.216866,-0.811138,2.56347,-0.234316,-0.712889,2.65276,-0.231586,-0.311458,2.51993,-0.155489,0.0447877,2.45132,0.121207,-0.8095,2.1852,0.0903148,-0.734663,2.32579,0.0572478,-0.363361,2.40156,0.0572478,-0.363361,2.40156
-0.00153265,0.0581944,2.47027,-0.0797648,0.0523421,2.50065,-0.216943,-0.811202,2.56352,-0.231602,-0.713888,2.64916,-0.226549,-0.313051,2.50202,-0.144144,0.040967,2.42335,0.12641,-0.818714,2.1713,0.096881,-0.74027,2.30928,0.096881,-0.74027,2.30928
0.0673523,-0.372493,2.37795,0.00884481,0.0540571,2.44666,-0.0687448,0.0482819,2.47489,-0.216906,-0.811049,2.56373,-0.228995,-0.713544,2.64552,-0.217763,-0.315661,2.48336,-0.132133,0.0346341,2.39696,0.13021,-0.837053,2.14512,0.13021,-0.837053,2.14512
0.102681,-0.756796,2.28181,0.0791171,-0.383969,2.34314,0.0238592,0.0464006,2.4097,-0.0550505,0.0411925,2.44339,-0.216722,-0.810871,2.56378,-0.225332,-0.71432,2.6404,-0.20606,-0.317546,2.46286,-0.122474,0.0309204,2.37093,-0.122474,0.0309204,2.37093
0.131956,-0.845233,2.14089,0.1068,-0.763639,2.27277,0.0850482,-0.379426,2.32765,0.029499,0.0425584,2.392,-0.0473512,0.0372931,2.42148,-0.2167,-0.810844,2.56374,-0.222491,-0.714644,2.63519,-0.194656,-0.320912,2.44728,-0.194656,-0.320912,2.44728
-0.104445,0.0274009,2.33633,0.13088,-0.849142,2.14783,0.110398,-0.764232,2.26823,0.101306,-0.373892,2.29995,0.0494558,0.0415833,2.35729,-0.0278982,0.0350586,2.38658,-0.215884,-0.808133,2.55965,-0.216497,-0.71093,2.62412,-0.216497,-0.71093,2.62412
-0.180025,-0.322836,2.41731,-0.0929198,0.0313182,2.30709,0.130094,-0.849851,2.14792,0.113211,-0.765403,2.26208,0.106925,-0.368896,2.28051,0.0628694,0.0433953,2.32888,-0.0153022,0.0379827,2.35795,-0.214036,-0.804371,2.55035,-0.214036,-0.804371,2.55035
-0.212233,-0.710648,2.60981,-0.162818,-0.31865,2.38178,-0.0799761,0.0340787,2.27921,0.128099,-0.849317,2.15236,0.114054,-0.76424,2.2608,0.110757,-0.362848,2.26525,0.079378,0.0472204,2.29515,-0.000315854,0.0413451,2.32708,-0.000315854,0.0413451,2.32708
-0.21092,-0.802857,2.53307,-0.209102,-0.713363,2.59415,-0.158539,-0.324731,2.36276,-0.0761936,0.0390171,2.25633,0.126685,-0.848352,2.15548,0.116066,-0.761329,2.25876,0.114847,-0.356495,2.2514,0.0830281,0.0493021,2.27411,0.0830281,0.0493021,2.27411
0.00348055,0.0448964,2.30514,-0.197876,-0.807617,2.48633,-0.194073,-0.716878,2.55102,-0.150675,-0.327362,2.32652,-0.0697517,0.0431315,2.22867,0.124938,-0.846346,2.16138,0.116746,-0.761188,2.25758,0.121314,-0.350018,2.23718,0.121314,-0.350018,2.23718
0.0896397,0.0506669,2.24344,0.0101325,0.0477593,2.27598,-0.182007,-0.818359,2.42188,-0.181662,-0.729621,2.49816,-0.1406,-0.323603,2.3,-0.065089,0.0462087,2.20718,0.124245,-0.845802,2.16459,0.117283,-0.760913,2.25709,0.117283,-0.760913,2.25709
0.126434,-0.34868,2.22794,0.0938424,0.0508594,2.21902,0.014651,0.0494559,2.25306,-0.167725,-0.826172,2.35742,-0.166848,-0.736315,2.43753,-0.136108,-0.328113,2.27349,-0.0609601,0.0490083,2.18515,0.123432,-0.845549,2.16722,0.123432,-0.845549,2.16722
0.119038,-0.758801,2.25627,0.131479,-0.347052,2.21673,0.0974602,0.0504531,2.19841,0.0185895,0.0506207,2.23172,-0.151367,-0.83252,2.29492,-0.147563,-0.745997,2.37687,-0.123074,-0.319317,2.2312,-0.0585478,0.0507448,2.16647,-0.0585478,0.0507448,2.16647
0.120959,-0.84544,2.17192,0.119779,-0.758933,2.25466,0.135239,-0.344782,2.20536,0.100605,0.0490065,2.17151,0.0214085,0.0509355,2.20912,-0.135864,-0.836914,2.22656,-0.132605,-0.749731,2.32015,-0.116684,-0.322204,2.20779,-0.116684,-0.322204,2.20779
